BrojPu,Naselje
20215,Mikulići
20215,Močići
20215,Molunat
20215,Palje Brdo
20215,Pločice
20215,Poljice
20215,Popovići
20215,Pridvorje
20215,Radovčići
20215,Vitaljina
20215,Vodovađa
20215,Zastolje
20221,Koločep
20222,Lopud
20223,Suđurađ
20223,Šipanska Luka
20225,Babino Polje
20225,Blato
20225,Goveđari
20225,Korita
20225,Kozarica
20225,Maranovići
20225,Okuklje
20225,Polače
20225,Pomena
20225,Prožura
20225,Prožurska Luka
20225,Ropa
20225,Saplunara
20225,Sobra
20230,Boljenovići
20230,Broce
20230,Čepikuće
20230,Česvinica
20230,Doli
20230,Duba Stonska
20230,Hodilje
20230,Imotica
20230,Lisac
20230,Luka
20230,Mali Ston
20230,Metohija
20230,Ošlje
20230,Podimoć
20230,Smokovljani
20230,Sparagovići
20230,Ston
20230,Stupa
20230,Štedrica
20230,Točionik
20230,Topolo
20230,Trnovica
20230,Visočani
20230,Zabrđe
20230,Zamaslina
20230,Zaton Doli
20232,Banići
20232,Brsečine
20232,Dubravica
20232,Gromača
20232,Kliševo
20232,Kručica
20232,Ljubač
20232,Majkovi
20232,Mravinjac
20232,Mravnica
20232,Mrčevo
20232,Podgora
20232,Slano
20232,Trnova
20235,Orašac
20235,Trsteno
20235,Zaton
20236,Čajkovica
20236,Čajkovići
20236,Donje Obuljeno
20236,Gornje Obuljeno
20236,Knežica
20236,Komolac
20236,Lozica
20236,Mokošica
20236,Nova Mokošica
20236,Osojnik
20236,Petrovo Selo
20236,Pobrežje
20236,Prijevor
20236,Rožat
20236,Sustjepan
20236,Šumet
20240,Donja Banda
20240,Donja Vrućica
20240,Duba Pelješka
20240,Gornja Vrućica
20240,Oskorušno
20240,Trpanj
20244,Kuna Pelješka
20244,Pijavičino
20244,Potomje
20244,Trstenik
20246,Brijesta
20246,Dančanje
20246,Drače
20246,Dubrava
20246,Janjina
20246,Osobjava
20246,Popova Luka
20246,Putniković
20246,Sreser
20246,Tomislavovac
20246,Žuljana
20250,Kučište
20250,Lovište
20250,Nakovanj
20250,Orebić
20250,Podgorje
20250,Podobuče
20250,Stanković
20250,Viganj
20260,Korčula
20260,Lumbarda
20260,Račišće
20260,Žrnovo
20270,Potirna
20270,Vela Luka
20271,Blato
20271,Smokvica
20260,Čara
20260,Pupnat
